order_id,order_date,region,sales_rep,customer_segment,product_category,product_name,unit_price,units_sold,discount_pct,revenue,cogs,daily_target
ORD-111488,2025-10-24,Northeast,Priya Sharma,Small Business,Sports,Resistance Bands,252.27,9,0.0,-2270.43,1689.56,1466.67
ORD-110900,2025-07-20,West,Ryan Mitchell,Consumer,Office Supplies,Whiteboard,62.18,5,0.05,295.35,189.65,1333.33
ORD-111037,2025-04-13,Midwest,Aisha Patel,Consumer,Electronics,Wireless Headphones,699.5,1,0.1,629.55,632.91,1266.67
ORD-100360,2025-06-14,West,Chen Wei,Small Business,Sports,Yoga Mat,263.03,7,0.1,1657.09,1308.42,1400.0
ORD-107399,2025-04-04,Midwest,Aisha Patel,Small Business,Office Supplies,Ergonomic Mouse,100.41,1,0.1,90.37,45.66,1266.67
ORD-102210,2025-10-24,Northeast,Priya Sharma,Consumer,Home & Garden,LED Desk Lamp,31.33,3,0.0,93.99,69.37,1466.67
ORD-104301,2025-12-24,Southeast,Sofia Rodriguez,Consumer,Sports,Foam Roller,328.66,5,0.05,1561.14,1026.97,1933.33
ORD-106830,2025-12-10,Southeast,Sofia Rodriguez,Small Business,Office Supplies,Notebook Set,81.83,8,0.0,654.64,426.59,1933.33
ORD-105701,2025-05-08,Southwest,Emily Nakamura,Corporate,Sports,Jump Rope,63.89,8,0.1,460.01,317.04,1333.33
ORD-103819,2025-07-13,West,Ryan Mitchell,Corporate,Office Supplies,Pen Set,92.67,8,0.1,667.22,407.42,1333.33
ORD-107407,2025-12-22,Southeast,Sofia Rodriguez,Consumer,Home & Garden,LED Desk Lamp,385.75,5,0.0,1928.75,1325.53,1933.33
ORD-100533,2025-08-05,Northeast,Marcus Thompson,Corporate,Office Supplies,Pen Set,105.39,10,0.15,895.82,618.64,1266.67
ORD-106723,2025-06-10,Northeast,Marcus Thompson,Consumer,Office Supplies,Notebook Set,85.17,4,0.0,340.68,222.04,1400.0
ORD-106181,2025-04-02,Midwest,Aisha Patel,Consumer,Office Supplies,Desk Organizer,113.08,1,0.05,107.43,68.71,1266.67
ORD-109970,2025-01-06,Southeast,James O'Brien,Consumer,Electronics,Webcam,119.79,5,0.05,569.0,470.24,1133.33
ORD-103752,2025-05-03,Southeast,Sofia Rodriguez,Consumer,Office Supplies,Ergonomic Mouse,69.75,1,0.0,69.75,46.34,1333.33
ORD-104104,2025-05-25,Midwest,Aisha Patel,Consumer,Electronics,Webcam,545.99,2,0.0,1091.98,869.36,1333.33
ORD-100668,2025-03-05,Midwest,David Kim,Consumer,Home & Garden,Plant Pot Set,59.94,3,0.0,179.82,122.32,1200.0
ORD-106161,2025-05-08,Southeast,Sofia Rodriguez,Consumer,Sports,Jump Rope,278.02,1,0.15,236.32,179.08,1333.33
ORD-102627,2025-09-02,West,Chen Wei,Consumer,Electronics,Wireless Headphones,951.33,1,0.0,951.33,743.16,1400.0
ORD-100135,2025-05-07,West,Ryan Mitchell,Consumer,Office Supplies,Notebook Set,86.23,5,0.0,431.15,204.39,1333.33
ORD-110372,2025-07-10,Southeast,Sofia Rodriguez,Consumer,Apparel,Winter Jacket,194.98,1,0.05,185.23,86.19,1333.33
ORD-111851,2025-12-26,Southeast,James O'Brien,Corporate,Electronics,Wireless Headphones,328.14,9,0.1,2657.93,2685.62,1933.33
ORD-111828,2025-03-15,Northeast,Priya Sharma,Consumer,Apparel,Polo Shirt,70.03,5,0.0,350.15,193.41,1200.0
ORD-104618,2025-05-16,Northeast,Priya Sharma,Corporate,Office Supplies,Planner,24.26,1,0.15,20.62,14.41,1333.33
ORD-100304,2025-10-26,West,Ryan Mitchell,Consumer,Apparel,Polo Shirt,93.56,5,0.0,467.8,300.15,1466.67
ORD-110675,2025-10-05,Northeast,Marcus Thompson,Corporate,Apparel,Sunglasses,150.17,3,0.05,427.98,228.93,1466.67
ORD-109412,2025-10-19,West,Chen Wei,Consumer,Sports,Jump Rope,94.36,5,0.0,471.8,306.56,1466.67
ORD-106051,2025-12-15,Southeast,Sofia Rodriguez,Consumer,Electronics,Smart Watch,752.13,4,0.0,3008.52,2559.89,1933.33
ORD-105746,2025-09-18,Southwest,Emily Nakamura,Small Business,Apparel,Joggers,17.81,7,0.05,118.44,72.53,1400.0
ORD-108883,2025-05-05,Northeast,Priya Sharma,Corporate,Electronics,Wireless Headphones,976.2,5,0.1,4392.9,3852.7,1333.33
ORD-108142,2025-09-19,Midwest,David Kim,Consumer,Apparel,Winter Jacket,50.24,4,0.1,-180.86,124.98,1400.0
ORD-106266,2025-12-04,Southwest,Carlos Mendez,Corporate,Office Supplies,Notebook Set,71.31,5,0.0,356.55,229.24,1933.33
ORD-102342,2025-02-20,Midwest,David Kim,Consumer,Home & Garden,Plant Pot Set,269.5,2,0.0,539.0,328.72,1066.67
ORD-105910,2025-06-21,West,Chen Wei,Consumer,Home & Garden,Throw Blanket,83.23,2,0.0,,108.23,1400.0
ORD-107884,2025-02-12,Midwest,David Kim,Corporate,Home & Garden,Throw Blanket,260.22,10,0.15,2211.87,1431.44,1066.67
ORD-104889,2025-10-13,Midwest,David Kim,Consumer,Home & Garden,Air Purifier,471.58,4,0.05,1792.0,1052.58,1466.67
ORD-109475,2025-11-14,Midwest,David Kim,Consumer,Office Supplies,Ergonomic Mouse,15.97,1,0.1,14.37,11.02,1733.33
ORD-103954,2025-04-09,West,Ryan Mitchell,Consumer,Office Supplies,Ergonomic Mouse,23.17,3,0.05,66.03,45.05,1266.67
ORD-108760,2025-01-11,Northeast,Marcus Thompson,Consumer,Home & Garden,Throw Blanket,244.16,3,0.0,732.48,540.39,1133.33
ORD-109951,2025-09-22,Southeast,Sofia Rodriguez,Corporate,Office Supplies,Whiteboard,50.04,6,0.1,270.22,138.99,1400.0
ORD-111717,2025-10-28,West,,Small Business,Electronics,Smart Watch,147.52,1,0.1,132.77,113.06,1466.67
ORD-111428,2025-01-13,Midwest,Aisha Patel,Consumer,Electronics,Bluetooth Speaker,506.2,4,0.05,1923.56,1521.31,1133.33
ORD-100218,2025-09-25,Midwest,Aisha Patel,Corporate,Apparel,Baseball Cap,115.54,2,0.05,219.53,147.24,1400.0
ORD-100518,2025-12-14,Midwest,Aisha Patel,Corporate,Apparel,Joggers,34.52,23,0.05,754.26,476.66,1933.33
ORD-100396,2025-11-02,West,Ryan Mitchell,Consumer,Electronics,Portable Charger,338.29,1,0.1,304.46,294.16,1733.33
ORD-103522,2025-04-22,Southeast,James O'Brien,Consumer,Apparel,Joggers,44.36,3,0.05,126.43,61.73,1266.67
ORD-111491,2025-05-14,Southeast,Sofia Rodriguez,Corporate,Electronics,Bluetooth Speaker,295.96,5,0.1,1331.82,1136.28,1333.33
ORD-100741,2025-05-21,Southeast,Sofia Rodriguez,Consumer,Electronics,Portable Charger,402.37,5,0.0,2011.85,1764.64,1333.33
ORD-103853,2025-12-20,West,Ryan Mitchell,Corporate,Home & Garden,Tool Kit,136.28,4,0.0,,323.69,1933.33
ORD-107837,2025-10-01,Southwest,Olivia Foster,Corporate,Office Supplies,Whiteboard,112.56,12,0.05,1283.18,756.45,1466.67
ORD-102688,2025-07-17,Midwest,Aisha Patel,Corporate,Electronics,Bluetooth Speaker,127.76,11,0.1,1264.82,1188.18,1333.33
ORD-105822,2025-10-15,Southeast,James O'Brien,Consumer,Sports,Jump Rope,124.41,1,0.0,124.41,83.85,1466.67
ORD-104420,2025-02-13,West,Chen Wei,Consumer,Office Supplies,Whiteboard,112.64,1,0.0,112.64,75.79,1066.67
ORD-110444,2025-04-15,Southeast,Sofia Rodriguez,Small Business,Office Supplies,Ergonomic Mouse,50.07,9,0.1,405.57,261.62,1266.67
ORD-100070,2025-10-20,West,Ryan Mitchell,Consumer,Office Supplies,Desk Organizer,108.62,5,0.05,515.95,257.85,1466.67
ORD-105799,2025-03-28,Northeast,Priya Sharma,Consumer,Sports,Jump Rope,348.07,1,0.15,295.86,224.73,1200.0
ORD-100379,2025-04-26,West,Ryan Mitchell,Consumer,Electronics,Wireless Headphones,248.3,4,0.15,844.22,910.48,1266.67
ORD-106902,2025-01-21,Southwest,Carlos Mendez,Small Business,Apparel,Sunglasses,54.58,6,0.05,311.11,138.24,1133.33
ORD-109473,2025-04-16,Southeast,James O'Brien,Consumer,Sports,Resistance Bands,295.29,3,0.05,841.58,577.57,1266.67
ORD-105616,2025-11-02,Southeast,James O'Brien,Consumer,Office Supplies,Whiteboard,134.0,1,0.1,120.6,66.03,1733.33
ORD-111687,2025-10-02,Midwest,David Kim,Consumer,Sports,Resistance Bands,271.86,5,0.05,1291.34,992.97,1466.67
ORD-105579,2025-06-15,Southeast,James O'Brien,Consumer,Sports,Foam Roller,186.89,2,0.0,373.78,251.23,1400.0
ORD-108546,2025-11-14,West,Chen Wei,Consumer,Home & Garden,Tool Kit,406.91,5,0.0,2034.55,1511.85,1733.33
ORD-103118,2025-04-10,West,Ryan Mitchell,Corporate,Electronics,Webcam,982.69,16,0.05,14936.89,12817.58,1266.67
ORD-110082,2025-09-16,Southwest,Olivia Foster,Consumer,Office Supplies,Planner,90.93,2,0.0,181.86,108.3,1400.0
ORD-102543,2025-09-22,Northeast,Marcus Thompson,Consumer,Sports,Jump Rope,303.76,2,0.0,607.52,459.46,1400.0
ORD-100811,2025-11-13,Southwest,Kwame Asante,Consumer,Apparel,Polo Shirt,60.07,1,0.0,60.07,31.5,1733.33
ORD-110743,2025-07-07,West,Ryan Mitchell,Consumer,Apparel,Winter Jacket,148.23,4,0.0,592.92,379.09,1333.33
ORD-111768,2025-01-03,Southeast,Sofia Rodriguez,Corporate,Office Supplies,Notebook Set,42.17,23,0.05,-921.41,649.15,1133.33
ORD-103751,2025-12-13,Midwest,David Kim,Consumer,Home & Garden,Candle Set,141.1,2,0.1,253.98,163.92,1933.33
ORD-109344,2025-01-14,West,Chen Wei,Consumer,Apparel,Polo Shirt,162.84,5,0.0,,478.29,1133.33
ORD-109657,2025-03-23,Midwest,Aisha Patel,Consumer,Sports,Jump Rope,157.17,2,0.0,314.34,222.35,1200.0
ORD-108997,2025-12-28,Northeast,Marcus Thompson,Consumer,Apparel,Joggers,165.88,1,0.0,165.88,96.93,1933.33
ORD-103660,2025-07-16,West,Chen Wei,Consumer,Office Supplies,Notebook Set,140.67,5,0.0,703.35,462.85,1333.33
ORD-105466,2025-10-19,Southeast,James O'Brien,Consumer,Sports,Water Bottle,184.37,3,0.15,470.14,434.87,1466.67
ORD-108768,2025-06-18,Midwest,David Kim,Corporate,Sports,Water Bottle,318.77,12,0.15,3251.45,2745.16,1400.0
ORD-100200,2025-09-17,Midwest,David Kim,Corporate,Apparel,Sunglasses,118.68,18,0.1,1922.62,1172.94,1400.0
ORD-104770,2025-01-28,West,Ryan Mitchell,Corporate,Electronics,Webcam,581.43,6,0.0,3488.58,3080.84,1133.33
ORD-102119,2025-11-03,West,Chen Wei,Consumer,Office Supplies,Whiteboard,15.53,4,0.0,,31.9,1733.33
ORD-108066,2025-07-22,Southeast,Sofia Rodriguez,Corporate,Home & Garden,Throw Blanket,300.33,2,0.15,510.56,376.35,1333.33
ORD-101139,2025-08-06,Southeast,Sofia Rodriguez,Consumer,Electronics,Bluetooth Speaker,128.15,1,0.1,115.34,98.96,1266.67
ORD-103013,2025-05-18,Southwest,Emily Nakamura,Small Business,Electronics,Webcam,323.89,7,0.05,2153.87,1797.83,1333.33
ORD-106127,2025-05-22,Northeast,Priya Sharma,Consumer,Electronics,Webcam,588.75,3,0.0,1766.25,1427.3,1333.33
ORD-110036,2025-12-06,Northeast,Priya Sharma,Consumer,Sports,Resistance Bands,71.27,5,0.0,356.35,233.68,1933.33
ORD-107450,2025-08-08,Southeast,Sofia Rodriguez,Small Business,Home & Garden,Throw Blanket,85.58,10,0.05,813.01,609.91,1266.67
ORD-107628,2025-12-09,Northeast,Marcus Thompson,Corporate,Home & Garden,Tool Kit,76.5,2,0.05,145.35,112.38,1933.33
ORD-104373,2025-06-11,Midwest,Aisha Patel,Small Business,Home & Garden,LED Desk Lamp,248.34,3,0.1,670.52,440.04,1400.0
ORD-102442,2025-10-27,Northeast,Marcus Thompson,Small Business,Home & Garden,Tool Kit,102.84,2,0.0,205.68,140.79,1466.67
ORD-110031,2025-12-04,Northeast,Marcus Thompson,Small Business,Home & Garden,Candle Set,224.54,7,0.0,1571.78,1166.52,1933.33
ORD-108898,2025-02-19,Midwest,Aisha Patel,Consumer,Apparel,Baseball Cap,199.24,2,0.15,338.71,206.78,1066.67
ORD-103692,2025-10-27,Southwest,Emily Nakamura,Small Business,Electronics,Bluetooth Speaker,824.6,1,0.0,824.6,725.12,1466.67
ORD-101935,2025-11-14,Northeast,Marcus Thompson,Consumer,Electronics,Bluetooth Speaker,201.27,5,0.1,905.72,804.23,1733.33
ORD-105522,2025-09-09,West,Ryan Mitchell,Consumer,Office Supplies,Desk Organizer,149.97,1,0.05,142.47,70.86,1400.0
ORD-106498,2025-04-17,Midwest,David Kim,Consumer,Sports,Yoga Mat,316.91,3,0.05,903.19,666.46,1266.67
ORD-107567,2025-01-17,Southeast,Sofia Rodriguez,Consumer,Sports,Dumbbells,322.13,5,0.0,1610.65,1102.13,1133.33
ORD-110768,2025-07-13,Midwest,David Kim,Consumer,Home & Garden,Air Purifier,213.54,3,0.05,608.59,412.59,1333.33
ORD-101602,2025-04-08,Midwest,Aisha Patel,Consumer,Sports,Jump Rope,274.13,1,0.0,274.13,177.33,1266.67
ORD-110307,2025-04-10,Southeast,Sofia Rodriguez,Corporate,Sports,Foam Roller,38.29,5,0.1,172.3,126.27,1266.67
ORD-110258,2025-11-14,Northeast,Marcus Thompson,Consumer,Sports,Jump Rope,200.38,1,0.05,190.36,134.94,1733.33
ORD-111686,2025-01-11,Southeast,Sofia Rodriguez,Small Business,Sports,Resistance Bands,139.92,5,0.05,664.62,514.96,1133.33
ORD-102447,2025-03-15,Midwest,Aisha Patel,Small Business,Electronics,Smart Watch,820.43,2,0.0,1640.86,1453.26,1200.0
ORD-101219,2025-04-26,Northeast,Marcus Thompson,Consumer,Sports,Yoga Mat,275.4,4,0.0,1101.6,686.9,1266.67
ORD-106703,2025-05-06,Midwest,David Kim,Corporate,Sports,Jump Rope,82.8,14,0.2,927.36,719.18,1333.33
ORD-103485,2025-08-15,West,Chen Wei,Consumer,Sports,Dumbbells,144.46,1,0.0,144.46,87.69,1266.67
ORD-111836,2025-08-14,Northeast,Priya Sharma,Corporate,Sports,Yoga Mat,114.48,4,0.1,412.13,330.4,1266.67
ORD-108875,2025-02-22,Southwest,Kwame Asante,Consumer,Apparel,Running Shoes,31.35,5,0.05,148.91,97.98,1066.67
ORD-110103,2025-05-23,Northeast,Priya Sharma,Consumer,Sports,Resistance Bands,41.04,3,0.05,116.96,76.75,1333.33
ORD-101197,2025-12-03,Southeast,James O'Brien,Consumer,Electronics,  Tablet  ,847.86,2,0.05,1610.93,1355.34,1933.33
ORD-109565,2025-05-27,Southeast,James O'Brien,Consumer,Apparel,Polo Shirt,93.97,5,0.05,446.36,201.08,1333.33
ORD-104118,2025-03-27,Southeast,Sofia Rodriguez,Corporate,Electronics,Tablet,72.01,14,0.1,907.33,894.54,1200.0
ORD-102328,2025-09-02,West,Chen Wei,Corporate,Office Supplies,Planner,141.06,22,0.2,2482.66,1532.9,1400.0
ORD-106201,2025-06-02,Midwest,David Kim,Consumer,Home & Garden,Tool Kit,190.3,4,0.0,761.2,546.45,1400.0
ORD-110271,2025-06-03,Southeast,James O'Brien,Small Business,Apparel,Running Shoes,41.7,6,0.05,237.69,101.6,1400.0
ORD-108305,2025-03-23,Northeast,Marcus Thompson,Consumer,Electronics,Smart Watch,203.5,2,0.05,386.65,321.19,1200.0
ORD-108727,2025-04-28,Northeast,Priya Sharma,Consumer,Electronics,Wireless Headphones,497.08,3,0.1,1342.12,1199.45,1266.67
ORD-105268,2025-11-13,Southeast,James O'Brien,Small Business,Apparel,Polo Shirt,194.08,2,0.0,388.16,197.06,1733.33
ORD-102157,2025-05-25,Southeast,Sofia Rodriguez,Consumer,Electronics,Smart Watch,472.78,3,0.1,1276.51,1297.45,1333.33
ORD-110704,2025-02-10,Northeast,Marcus Thompson,Small Business,Sports,Resistance Bands,167.39,8,0.05,1272.16,938.37,1066.67
ORD-109043,2025-04-26,Southeast,Sofia Rodriguez,Small Business,Apparel,Winter Jacket,159.14,1,0.1,143.23,88.59,1266.67
ORD-108986,2025-06-13,Northeast,Priya Sharma,Corporate,Sports,Jump Rope,125.85,7,0.15,748.81,588.55,1400.0
ORD-107453,2025-08-28,Midwest,Aisha Patel,Corporate,Sports,Resistance Bands,285.75,2,0.1,,364.0,1266.67
ORD-100019,2025-05-07,Southeast,James O'Brien,Small Business,Sports,Jump Rope,270.44,2,0.0,540.88,386.56,1333.33
ORD-110830,2025-04-05,Midwest,Aisha Patel,Corporate,Sports,Resistance Bands,90.1,3,0.1,243.27,211.23,1266.67
ORD-100554,2025-11-08,West,Ryan Mitchell,Consumer,Home & Garden,Throw Blanket,108.52,5,0.0,542.6,369.51,1733.33
ORD-105128,2025-05-19,Northeast,Marcus Thompson,Corporate,Office Supplies,Desk Organizer,93.57,2,0.1,168.43,108.14,1333.33
ORD-110142,2025-12-21,West,Ryan Mitchell,Corporate,Home & Garden,LED Desk Lamp,254.7,6,0.0,1528.2,1057.61,1933.33
ORD-111847,2025-11-26,Midwest,David Kim,Small Business,Office Supplies,Desk Organizer,26.29,1,0.0,26.29,12.38,1733.33
